cell,source,target,arch,seed,T,n_ood,raw_smooth_ece_h_default,ts_smooth_ece_h_default,d_smooth_ece_h_default,raw_smooth_ece_h_0.45,ts_smooth_ece_h_0.45,d_smooth_ece_h_0.45,raw_ece_bin10_eqwidth,ts_ece_bin10_eqwidth,d_ece_bin10_eqwidth,raw_ece_bin15_eqwidth,ts_ece_bin15_eqwidth,d_ece_bin15_eqwidth,raw_ece_bin20_eqwidth,ts_ece_bin20_eqwidth,d_ece_bin20_eqwidth,raw_ece_bin10_eqfreq,ts_ece_bin10_eqfreq,d_ece_bin10_eqfreq,raw_repo_ece_metric_safe,ts_repo_ece_metric_safe,d_repo_ece_metric_safe,raw_brier_reliability10,ts_brier_reliability10,d_brier_reliability10,raw_mce_bin10,ts_mce_bin10,d_mce_bin10,raw_rms_ce_bin10,ts_rms_ce_bin10,d_rms_ce_bin10
chapman_cpsc_inceptiontime_seed42,chapman,cpsc,inceptiontime,42,1.432226584951807,2057,0.4126247553697963,0.33101034104883686,0.08161441432095945,0.4126580168137786,0.33103388004439227,0.08162413676938635,0.4086442037322999,0.3249488668072681,0.08369533692503184,0.40864420373230004,0.324948866807268,0.08369533692503206,0.4086442037323001,0.32494886680726803,0.08369533692503206,0.4086442037323,0.3249488668072681,0.0836953369250319,0.4086442037322999,0.3249488668072681,0.08369533692503184,0.17653701871721647,0.11229037496070485,0.06424664375651162,0.5648345691817147,0.4254077673633385,0.1394268018183762,0.42016308585740425,0.33509756036220983,0.08506552549519442
chapman_cpsc_inceptiontime_seed43,chapman,cpsc,inceptiontime,43,1.2633181192034328,2057,0.33076891271251885,0.27651860890166957,0.054250303810849276,0.3307811722286927,0.2765399039010758,0.05424126832761689,0.32938253643388704,0.27445405970422126,0.054928476729665776,0.32938253643388715,0.27445405970422115,0.054928476729666,0.32938253643388704,0.27445405970422126,0.054928476729665776,0.32938253643388704,0.2744540597042212,0.05492847672966583,0.32938253643388704,0.27445405970422126,0.054928476729665776,0.11263920100219839,0.08176136321122321,0.03087783779097518,0.43146988772428957,0.4150624510857281,0.01640743663856148,0.33561764107716147,0.2859394397616796,0.04967820131548184
chapman_cpsc_inceptiontime_seed44,chapman,cpsc,inceptiontime,44,1.6118524192088628,2057,0.4095723171532411,0.30828607484043974,0.10128624231280137,0.4096025471369086,0.30832628180507443,0.10127626533183415,0.4059240053478931,0.3017305899388966,0.10419341540899646,0.4059240053478931,0.3017305899388967,0.1041934154089964,0.4059240053478931,0.30233193537510006,0.10359206997279302,0.4059240053478931,0.30173058993889673,0.10419341540899635,0.4059240053478931,0.3017305899388966,0.10419341540899646,0.1779425349625843,0.09910678211010522,0.07883575285247908,0.5653742942545149,0.4018537424091181,0.16352055184539682,0.4218323540964874,0.31481229663103255,0.10702005746545484
chapman_cpsc_inceptiontime_seed45,chapman,cpsc,inceptiontime,45,1.2438574579845358,2057,0.37474261699482697,0.3289325018313374,0.045810115163489595,0.3747682162169959,0.32896015096929554,0.04580806524770037,0.37092625751446684,0.3242865673077655,0.046639690206701334,0.37092625751446684,0.32428656730776556,0.04663969020670128,0.3709262575144668,0.3242865673077655,0.04663969020670128,0.37092625751446673,0.32428656730776556,0.04663969020670117,0.37092625751446684,0.3242865673077655,0.046639690206701334,0.14462616481359378,0.10860374389149158,0.0360224209221022,0.4627010880495964,0.3976761219920308,0.06502496605756564,0.38029746884983834,0.32955082140921993,0.05074664744061841
chapman_cpsc_inceptiontime_seed46,chapman,cpsc,inceptiontime,46,1.4799010609485748,2057,0.41217644123980945,0.33702743773728955,0.0751490035025199,0.41219228159212956,0.33706420714107355,0.07512807445105602,0.4102763042150913,0.33400491421328227,0.07627139000180905,0.41027630421509137,0.33400491421328216,0.07627139000180921,0.41027630421509137,0.3340049142132822,0.07627139000180916,0.41005280455977344,0.3340049142132821,0.07604789034649134,0.4102763042150913,0.33400491421328227,0.07627139000180905,0.17662888269590582,0.11793100061944546,0.05869788207646036,0.54025912662627,0.4385467963411973,0.10171233028507265,0.4202723910702508,0.3434108335790318,0.07686155749121898
chapman_cpsc_resnet1d_seed42,chapman,cpsc,resnet1d,42,1.536391908969336,2057,0.3650944517493535,0.278108260966366,0.08698619078298753,0.3651182583612802,0.27815017055689595,0.08696808780438425,0.36426027484987916,0.2751245263403114,0.08913574850956774,0.36426027484987916,0.2751245263403114,0.08913574850956774,0.3642602748498791,0.2751245263403114,0.08913574850956768,0.36426027484987905,0.27512452634031137,0.08913574850956768,0.36426027484987916,0.2751245263403114,0.08913574850956774,0.1433648135345837,0.0841366266895602,0.059228186845023484,0.5240764339439204,0.396573270035787,0.12750316390813343,0.37863546259507136,0.29006314259064386,0.0885723200044275
chapman_cpsc_resnet1d_seed43,chapman,cpsc,resnet1d,43,1.2230026173428343,2057,0.3685439270145245,0.32297245466090474,0.045571472353619746,0.36855639479293917,0.32299005034472666,0.045566344448212504,0.36825313813546123,0.32254462441298026,0.04570851372248097,0.36825313813546123,0.3225446244129803,0.045708513722480915,0.36825313813546123,0.3225446244129804,0.04570851372248086,0.3682531381354612,0.3225446244129803,0.04570851372248086,0.36825313813546123,0.32254462441298026,0.04570851372248097,0.14166209047019146,0.10875469360101443,0.03290739686917703,0.49628568028604525,0.40900895724365,0.08727672304239525,0.3763802471838705,0.329779765299532,0.04660048188433846
chapman_cpsc_resnet1d_seed44,chapman,cpsc,resnet1d,44,1.32363375510813,2057,0.36562912849503826,0.30656497416443507,0.05906415433060319,0.3656620767466508,0.3066009205400192,0.059061156206631604,0.3627793970592519,0.3022177777727013,0.06056161928655057,0.3627793970592519,0.3022177777727014,0.06056161928655046,0.3627793970592519,0.3022177777727013,0.06056161928655057,0.3627793970592519,0.3022177777727014,0.06056161928655046,0.3627793970592519,0.3022177777727013,0.06056161928655057,0.13951784215806315,0.09755771056487642,0.041960131593186734,0.5235893221058472,0.42990071293322474,0.09368860917262245,0.3735208724530172,0.3123422971114806,0.06117857534153659
chapman_cpsc_resnet1d_seed45,chapman,cpsc,resnet1d,45,1.5302072131829394,2057,0.38521313397637374,0.3085802953794136,0.07663283859696013,0.3852445362816264,0.3086296784701618,0.0766148578114646,0.3822009183274465,0.30329950372250125,0.07890141460494526,0.3822009183274465,0.30329950372250125,0.07890141460494526,0.3822009183274465,0.3032995037225013,0.07890141460494521,0.3822009183274465,0.3032995037225012,0.07890141460494532,0.3822009183274465,0.30329950372250125,0.07890141460494526,0.16295010728892817,0.10451197340807511,0.05843813388085306,0.597364364862442,0.4697933322337829,0.12757103262865915,0.403670790730427,0.32328311649090974,0.08038767423951726
chapman_cpsc_resnet1d_seed46,chapman,cpsc,resnet1d,46,1.3437981326004593,2057,0.408656007012721,0.3505062268550913,0.05814978015762967,0.40869245031097573,0.3505300046195628,0.058162445691412934,0.4044028995943464,0.34579367546911044,0.05860922412523595,0.40440289959434633,0.34579367546911055,0.05860922412523578,0.4044028995943464,0.3457936754691105,0.05860922412523589,0.40440289959434633,0.34579367546911055,0.05860922412523578,0.4044028995943464,0.34579367546911044,0.05860922412523595,0.17597434458730815,0.12808374025080663,0.047890604336501524,0.5735595290827903,0.47770040420393783,0.09585912487885245,0.41949296130842073,0.35788788782355657,0.06160507348486416
