arch,method,n_samples,n_pairs,n_shifts,loo_r2,ci_lo,ci_hi,ci_width,mse,delta_ece_mean,delta_ece_std,decay_mean,verdict
inceptiontime,ts,157,6,13,-0.08415255715445236,-1.5081625525097848,0.12489035879789019,1.633052911307675,0.00010634730819238046,-0.014456154192500445,0.009904169211810214,0.32622552484815914,失败分支
inceptiontime,platt,157,6,13,-0.0976622689637785,-1.1530755857296653,-0.035894114941708556,1.1171814707879568,0.0012611983292152,-0.005319946521894466,0.03389669263718772,0.3170893171775532,失败分支
inceptiontime,isotonic,157,6,13,-0.008507302906584302,-1.1462382801657363,0.08180905981214481,1.228047339977881,0.002146034820799632,0.008825822687014552,0.04612951181080141,0.30294354796864414,失败分支
inceptiontime,vector,157,6,13,-0.04180859402677917,-0.7318107022070509,0.09990813036565716,0.8317188325727081,0.0022116225338276673,-0.002189479970003683,0.046074595940628835,0.3139588506256623,失败分支
inceptiontime,matrix,131,6,13,-0.23209632935238855,-1.1157393403328135,0.008644474948438518,1.124383815281252,0.005307568306259346,0.004084352593964317,0.06563348487556157,0.2954634936339126,失败分支
inceptiontime,dirichlet,157,6,13,-0.09030960440733993,-0.8456358748903459,0.11199931836957866,0.9576351932599245,0.007187442318583072,0.01022099880802658,0.0811918182474441,0.3015483718476321,失败分支
inceptiontime,em_prior,157,6,13,0.11384273054528182,-1.3320833958298874,0.2948714042186717,1.6269548000485592,0.04318688711610317,0.2407626626709494,0.2207600829102459,0.0710067079847093,失败分支
inceptiontime,bbse_prior,157,6,13,0.09098732091924111,-0.8358917164063921,0.15471279382766306,0.9906045102340553,0.029350833089319885,0.14120420143309992,0.17969055327890182,0.17056516922255877,失败分支
resnet1d,ts,156,6,13,-0.48168645864537285,-1.6736856316918283,-0.17226181331997634,1.501423818371852,0.0002999927201679757,-0.014313532306981522,0.014229092481710864,0.3132958149898433,失败分支
resnet1d,platt,156,6,13,-0.22083523286541618,-1.9023215280507677,-0.03789715422370368,1.864424373827064,0.0017717930639806275,-0.019451871379230858,0.03809587661111658,0.31843415406209274,失败分支
resnet1d,isotonic,156,6,13,-0.2142241785882486,-1.6121992928118958,-0.03561627309943838,1.5765830197124573,0.002637294335699026,-0.01580857596972244,0.04660471566449501,0.31479085865258427,失败分支
resnet1d,vector,156,6,13,-0.15925739067868228,-1.3867430820562385,-0.07642116854759017,1.3103219135086484,0.0024759931578470515,-0.01979385619239656,0.04621519431857645,0.3187761388752584,失败分支
resnet1d,matrix,143,6,13,-0.066219289433888,-0.7094485527588962,0.05151972250279065,0.7609682752616869,0.0038983602807290954,-0.017568828266775287,0.06046690211951422,0.3085657627412348,失败分支
resnet1d,dirichlet,156,6,13,-0.04981648759929724,-0.657539353051358,0.07949462449211701,0.737033977543475,0.003551989408592579,-0.015528966560125559,0.05816733096764481,0.31451124924298735,失败分支
resnet1d,em_prior,156,6,13,-0.08131137764236285,-0.9809629926156342,0.2296305585959636,1.210593551211598,0.05804166149495108,0.17946701519607108,0.23168319394087433,0.11951526748679073,失败分支
resnet1d,bbse_prior,156,6,13,-0.03674061499627124,-0.7237418795294185,0.19786017459426913,0.9216020541236876,0.02397453183158682,0.09585951139301042,0.15206876231682837,0.20312277128985137,失败分支
