# E3 次要终点：DCR + NCV + 探索性 ECE 变化
"# DCR: Decision Cost Reduction, τ=0.5, abstain_cost=0.5"
"# NCV: Net Clinical Value, 对称定义, N_total=N_samples×N_classes"
"# ECE: Expected Calibration Error (top-label, 10 bins)"
# n_checkpoints,60

pair,source,target,arch,seed,T,num_classes,n_id,n_ood,ece_before_id,ece_after_id,delta_ece_id,dcr_id,decision_cost_before_id,decision_cost_after_id,ncv_id,ncv_tp_improved_id,ncv_tn_improved_id,ncv_fp_worsened_id,ncv_fn_worsened_id,ncv_n_total_id,ncv_per_sample_id,ece_before_ood,ece_after_ood,delta_ece_ood,dcr_ood,decision_cost_before_ood,decision_cost_after_ood,ncv_ood,ncv_tp_improved_ood,ncv_tn_improved_ood,ncv_fp_worsened_ood,ncv_fn_worsened_ood,ncv_n_total_ood,ncv_per_sample_ood
ptbxl_cpsc,ptbxl,cpsc,inceptiontime,46,1.5152326743690967,4,20,20,0.16063826382160187,0.2208834473018782,-0.060245183480276326,0.024999999999999994,0.25,0.225,0.0125,0,2,0,1,80,0.05,0.32510554045438766,0.23880453975764085,0.08630100069674682,0.02499999999999991,0.575,0.55,0.0125,0,3,0,2,80,0.05
ptbxl_cpsc,ptbxl,cpsc,resnet1d,42,1.5489829165134288,4,20,20,0.13086527734994888,0.17333049771232525,-0.04246522036237638,0.025000000000000022,0.275,0.25,0.0125,0,2,0,1,80,0.05,0.4107750341296196,0.2954847593985218,0.11529027473109776,0.0,0.625,0.625,0.0,0,2,0,2,80,0.0
ptbxl_cpsc,ptbxl,cpsc,resnet1d,43,1.5546053491723881,4,20,20,0.11539383381605145,0.23209641959962038,-0.11670258578356893,0.0,0.175,0.175,0.0,0,1,0,1,80,0.0,0.5187922149896621,0.38242494268484906,0.13636727230481305,0.04999999999999993,0.7,0.65,0.025,0,2,0,0,80,0.1
ptbxl_cpsc,ptbxl,cpsc,resnet1d,44,2.8117477828596544,4,20,20,0.1315109521150589,0.2687883534158654,-0.13727740130080648,-0.025000000000000022,0.175,0.2,-0.0125,0,2,0,3,80,-0.05,0.466201412677765,0.23796452337978397,0.22823688929798103,-0.025000000000000022,0.525,0.55,-0.0125,0,1,0,2,80,-0.05
ptbxl_cpsc,ptbxl,cpsc,resnet1d,45,1.9712767279172356,4,20,20,0.1999312773346901,0.26954364803237046,-0.06961237069768036,-0.025000000000000022,0.25,0.275,-0.0125,0,2,0,3,80,-0.05,0.3797514885663986,0.2133680327956889,0.16638345577070973,0.0,0.575,0.575,0.0,0,2,0,2,80,0.0
ptbxl_cpsc,ptbxl,cpsc,resnet1d,46,1.4436817009351066,4,20,20,0.15599858015775678,0.17652990706690047,-0.020531326909143693,-0.024999999999999994,0.2,0.225,-0.0125,0,0,0,1,80,-0.05,0.2619405671954155,0.23160335508090657,0.030337212114508905,0.0,0.475,0.475,0.0,0,1,0,1,80,0.0
chapman_ptbxl,chapman,ptbxl,inceptiontime,42,0.9988507514379212,5,20,20,0.19364604800939558,0.19341710923889252,0.0002289387705030621,0.0,0.175,0.175,0.0,0,0,0,0,100,0.0,0.26583675742149354,0.2658774556540558,-4.069823256225291e-05,0.0,0.35,0.35,0.0,0,0,0,0,100,0.0
chapman_ptbxl,chapman,ptbxl,inceptiontime,43,0.9900210886880066,5,20,20,0.13812797218561174,0.13866709188199855,-0.0005391196963868139,0.0,0.3,0.3,0.0,0,0,0,0,100,0.0,0.3148287311196327,0.3142783227625546,0.0005504083570781471,0.0,0.275,0.275,0.0,0,0,0,0,100,0.0
chapman_ptbxl,chapman,ptbxl,inceptiontime,44,0.5103178351240938,5,20,20,0.13810700774192813,0.12482024709963682,0.013286760642291312,0.0,0.2,0.2,0.0,1,0,1,0,100,0.0,0.24062843471765522,0.2204841769119008,0.020144257805754406,0.025000000000000022,0.275,0.25,0.01,2,0,1,0,100,0.05
chapman_ptbxl,chapman,ptbxl,inceptiontime,45,1.1879653067863547,5,20,20,0.16538484990596775,0.17803938619674597,-0.012654536290778229,-0.024999999999999994,0.15,0.175,-0.01,0,0,0,1,100,-0.05,0.22501754611730573,0.19738544726693608,0.027632098850369657,0.0,0.35,0.35,0.0,0,0,0,0,100,0.0
chapman_ptbxl,chapman,ptbxl,inceptiontime,46,0.5985991355595799,5,20,20,0.15812226235866553,0.1793004413257938,-0.021178178967128286,0.024999999999999994,0.175,0.15,0.01,1,0,0,0,100,0.05,0.18027458935976023,0.18780076884210145,-0.0075261794823412165,0.024999999999999994,0.25,0.225,0.01,1,0,0,0,100,0.05
chapman_ptbxl,chapman,ptbxl,resnet1d,42,1.0605029744480345,5,20,20,0.16385287046432495,0.17447838754445713,-0.01062551708013218,0.0,0.025,0.025,0.0,0,0,0,0,100,0.0,0.17969394624233245,0.220624454922816,-0.040930508680483535,0.0,0.175,0.175,0.0,0,0,0,0,100,0.0
chapman_ptbxl,chapman,ptbxl,resnet1d,43,1.2864218108011332,5,20,20,0.15169678926467892,0.15436480632517371,-0.0026680170604947984,0.0,0.2,0.2,0.0,0,0,0,0,100,0.0,0.11435047090053557,0.04908317923273618,0.06526729166779939,0.0,0.2,0.2,0.0,0,0,0,0,100,0.0
chapman_ptbxl,chapman,ptbxl,resnet1d,44,0.9768050368233397,5,20,20,0.16027271151542669,0.14964681922106363,0.01062589229436306,0.0,0.15,0.15,0.0,0,0,0,0,100,0.0,0.10910340547561645,0.10692869381327869,0.002174711662337764,0.0,0.2,0.2,0.0,0,0,0,0,100,0.0
chapman_ptbxl,chapman,ptbxl,resnet1d,45,0.816535039813984,5,20,20,0.08203257918357851,0.10294909758501972,-0.02091651840144121,0.0,0.3,0.3,0.0,0,0,0,0,100,0.0,0.16609907150268555,0.15366540181339683,0.012433669689288718,0.0,0.2,0.2,0.0,0,0,0,0,100,0.0
chapman_ptbxl,chapman,ptbxl,resnet1d,46,0.2775221932842032,5,20,20,0.19070637524127965,0.19994500787613656,-0.009238632634856914,-0.025000000000000022,0.175,0.2,-0.01,0,0,1,0,100,-0.05,0.15003906488418586,0.1672532941633777,-0.017214229279191834,-0.025000000000000022,0.175,0.2,-0.01,0,0,1,0,100,-0.05
chapman_cpsc,chapman,cpsc,inceptiontime,42,1.7889960021427176,4,20,20,0.2234794795513153,0.2695775434364372,-0.04609806388512189,0.025000000000000022,0.2,0.175,0.0125,0,2,0,1,80,0.05,0.35386723577976226,0.3679937580843127,-0.01412652230455047,-0.175,0.25,0.425,-0.0875,0,0,0,7,80,-0.35
chapman_cpsc,chapman,cpsc,inceptiontime,43,1.068336797545246,4,20,20,0.2607682213187218,0.2696192056140439,-0.008850984295322106,0.0,0.15,0.15,0.0,0,0,0,0,80,0.0,0.3812889248132706,0.39993172915095687,-0.01864280433768628,0.025000000000000022,0.6,0.575,0.0125,0,1,0,0,80,0.05
chapman_cpsc,chapman,cpsc,inceptiontime,44,2.6599214695463704,4,20,20,0.1569903552532196,0.37361943238099016,-0.21662907712777055,-0.1,0.025,0.125,-0.05,0,0,0,4,80,-0.2,0.425672933459282,0.2022526677303493,0.22342026572893267,0.07500000000000007,0.55,0.475,0.0375,0,3,0,0,80,0.15
chapman_cpsc,chapman,cpsc,inceptiontime,45,0.9147607742674206,4,20,20,0.14017399996519092,0.1447696249981179,-0.0045956250329269865,-0.024999999999999967,0.275,0.3,-0.0125,0,0,1,0,80,-0.05,0.38946637511253357,0.40592012017245305,-0.016453745059919478,0.0,0.55,0.55,0.0,0,0,0,0,80,0.0
chapman_cpsc,chapman,cpsc,inceptiontime,46,1.8811179622683614,4,20,20,0.12226506769657132,0.18631928568651424,-0.06405421798994292,0.024999999999999994,0.15,0.125,0.0125,0,1,0,0,80,0.05,0.27587310373783114,0.15269362686621163,0.12317947687161951,-0.025000000000000022,0.375,0.4,-0.0125,0,1,0,2,80,-0.05
chapman_cpsc,chapman,cpsc,resnet1d,42,1.5993328458671172,4,20,20,0.1503096342086792,0.2211575943207361,-0.07084796011205688,0.0,0.25,0.25,0.0,0,0,0,0,80,0.0,0.3425754517316818,0.2913452064592862,0.051230245272395614,0.0,0.45,0.45,0.0,0,0,0,0,80,0.0
chapman_cpsc,chapman,cpsc,resnet1d,43,0.525191631225831,4,20,20,0.18013013601303102,0.12341463284509548,0.05671550316793554,0.024999999999999994,0.125,0.1,0.0125,1,0,0,0,80,0.05,0.45123455971479415,0.5648023476216344,-0.11356778790684025,-0.050000000000000044,0.6,0.65,-0.025,0,0,2,0,80,-0.1
chapman_cpsc,chapman,cpsc,resnet1d,44,1.8284745365653476,4,20,20,0.11475940197706222,0.25926292314689786,-0.14450352116983564,0.0,0.025,0.025,0.0,0,0,0,0,80,0.0,0.35066641867160797,0.18108396825801604,0.16958245041359193,0.0,0.5,0.5,0.0,0,0,0,0,80,0.0
