direction,source,target,seed,shift,n_archs,archs,safety_rate,safety_count,safety_source_summary,raw_ece_mean,raw_brier_rel_mean,brier_impr_mean,ts_delta_ece_mean
chapman->cpsc,chapman,cpsc,44,leads1,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.37007578480214476,0.14760582674955403,0.04883119023334182,-0.08756652504826558
chapman->cpsc,chapman,cpsc,44,leads2,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.2297667852374173,0.06562699184439667,0.03072454232316112,-0.0857190351034625
chapman->cpsc,chapman,cpsc,44,leads3,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.29482513259580173,0.09250942837515022,0.04116009893559468,-0.08891392637299783
chapman->cpsc,chapman,cpsc,44,leads6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3613973231942388,0.13431354909557974,0.05113379545450604,-0.07474171397325752
chapman->cpsc,chapman,cpsc,44,noise-6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.2439605636141691,0.06480888784833119,0.03645230547198384,-0.0915793353840899
chapman->cpsc,chapman,cpsc,44,noise0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3430089099344161,0.12684720060273216,0.05909711924934334,-0.08939868984485683
chapman->cpsc,chapman,cpsc,44,noise12,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.381947645827311,0.153914814189844,0.060943521813863574,-0.08207550412170714
chapman->cpsc,chapman,cpsc,44,noise24,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3871224756945517,0.15813551382058344,0.06070230962818702,-0.08032476852254644
chapman->cpsc,chapman,cpsc,44,noise6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3723389963875009,0.14495866253314166,0.059262156870836025,-0.0846778096195209
chapman->cpsc,chapman,cpsc,45,fs125,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4067195995915349,0.16962873767210296,0.03990141892622791,-0.057824138569632505
chapman->cpsc,chapman,cpsc,45,fs250,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.41770240576145057,0.1764226977594287,0.03398649960334078,-0.04370899660697394
chapman->cpsc,chapman,cpsc,45,gain0.5,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.36121802932490954,0.13261821816052402,0.03976952961007685,-0.060954731035924165
chapman->cpsc,chapman,cpsc,45,gain2.0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.33218183032587406,0.11445657742084787,0.04198556995708322,-0.06404915867140004
chapman->cpsc,chapman,cpsc,45,leads1,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.34215355719589186,0.1370471106586078,0.03633454175479771,-0.05961730837173204
chapman->cpsc,chapman,cpsc,45,leads2,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.32696245569653526,0.11934116801869503,0.04317276425101822,-0.07072910786689492
chapman->cpsc,chapman,cpsc,45,leads3,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.34906048353852326,0.12978761793815405,0.04436571870918368,-0.06698885421971817
chapman->cpsc,chapman,cpsc,45,leads6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3616566110543937,0.13780685483394275,0.041632817190157656,-0.05809030897436107
chapman->cpsc,chapman,cpsc,45,noise-6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4088104109339345,0.22577465672321897,0.07974916024116156,-0.08454006868752785
chapman->cpsc,chapman,cpsc,45,noise0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.29082507590599754,0.08975528311631681,0.03868165151365468,-0.06680782500397875
chapman->cpsc,chapman,cpsc,45,noise12,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.36461179616830935,0.14058124281910261,0.04455188156245002,-0.06144323915469077
chapman->cpsc,chapman,cpsc,45,noise24,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3804236495404565,0.1536379037924471,0.04662835022381385,-0.06120615828339537
chapman->cpsc,chapman,cpsc,45,noise6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3360324531556526,0.11939627431343355,0.042083751296031556,-0.06314733139226184
chapman->cpsc,chapman,cpsc,46,fs125,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4344480993620184,0.1909885219294594,0.03321332312520567,-0.04366299905882484
chapman->cpsc,chapman,cpsc,46,fs250,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.41849030205870547,0.17774214881836872,0.03141999648081517,-0.042268082259513784
chapman->cpsc,chapman,cpsc,46,gain0.5,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.35605932898418174,0.13528020072461672,0.04409069368183361,-0.065295292236532
chapman->cpsc,chapman,cpsc,46,gain2.0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.34163549355465683,0.12138886938842855,0.04526531175463937,-0.07209998547614796
chapman->cpsc,chapman,cpsc,46,leads1,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.20777757049021148,0.05956774033029911,0.029134454137128132,-0.08467229250115213
chapman->cpsc,chapman,cpsc,46,leads2,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.2759479701328079,0.08210030868848806,0.03130898956921603,-0.06165336682413583
chapman->cpsc,chapman,cpsc,46,leads3,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.246699541644296,0.0666271042844829,0.02988803680651289,-0.07119353180475735
chapman->cpsc,chapman,cpsc,46,leads6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3875636818568714,0.1547994834208652,0.04690356318285115,-0.06365815195490077
chapman->cpsc,chapman,cpsc,46,noise-6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.38800280811421495,0.1698136351168617,0.06406916739148016,-0.08474946153378239
chapman->cpsc,chapman,cpsc,46,noise0,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.3714203513198405,0.1512098407393909,0.05375255517967195,-0.07231204057875995
chapman->cpsc,chapman,cpsc,46,noise12,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4122969181637922,0.17797253311624267,0.054178426986452595,-0.06737422357435663
chapman->cpsc,chapman,cpsc,46,noise24,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4104721273651766,0.17576239208441632,0.052657316376776786,-0.06679168016964734
chapman->cpsc,chapman,cpsc,46,noise6,2,resnet1d+inceptiontime,1.0,2,2/2 computed,0.4019901858898279,0.1684613116821242,0.05233715121351471,-0.06716742443646528
chapman->ptbxl,chapman,ptbxl,42,fs125,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.7133598032039312,0.5224121622737881,0.010507848410920118,-0.00881778739657546
chapman->ptbxl,chapman,ptbxl,42,fs250,2,resnet1d+inceptiontime,0.5,1,2/2 computed,0.6946409485683586,0.49868723704594425,0.005321262802137211,-0.004609786012011119
