source,target,arch,seed,stage,n_samples,T_global,T_binned_mean,T_binned_min,T_binned_max,threshold_norm,brier_reliability,brier_resolution,brier_uncertainty,brier_raw,ece,smooth_ece,delta_rel_vs_raw
chapman,cpsc,inceptiontime,42,raw,2057,,,,,0.0,0.12507155052906282,0.028814502070156695,0.24980803540514868,0.34630270972850585,0.3396116320259315,0.3474239249443988,0.0
chapman,cpsc,inceptiontime,42,stage1_ts,2057,1.06917545403761,,,,0.0,0.11547827021346169,0.02819777804400367,0.24980803540514868,0.33595884288176453,0.3253986548656802,0.3335284685932505,-0.009593280315601138
chapman,cpsc,inceptiontime,42,stage2_ts_binned,2057,1.06917545403761,0.9877052747891117,0.8832499836415981,1.0869603808573693,0.0,0.11544708009410998,0.02712625486395641,0.24980803540514868,0.3362703887171831,0.32646177979600144,0.3353724496128487,-0.009624470434952848
chapman,cpsc,inceptiontime,42,stage3_ts_binned_threshold,2057,1.06917545403761,0.9877052747891117,0.8832499836415981,1.0869603808573693,0.0,0.11544708009410998,0.02712625486395641,0.24980803540514868,0.3362703887171831,0.32646177979600144,0.3353724496128487,-0.009624470434952848
chapman,cpsc,inceptiontime,43,raw,2057,,,,,0.0,0.11263920100219839,0.018859046383449228,0.24975036921722168,0.34124557813598305,0.32938253643388704,0.33076891271251885,0.0
chapman,cpsc,inceptiontime,43,stage1_ts,2057,1.0485357727545033,,,,0.0,0.10668647791671645,0.020185141904226423,0.24975036921722168,0.33392297768945256,0.31914562283575804,0.32063224131255263,-0.005952723085481934
chapman,cpsc,inceptiontime,43,stage2_ts_binned,2057,1.0485357727545033,0.9597163956579233,0.850166540366152,1.118910300430493,0.0,0.10727762146999892,0.02288918743632247,0.24975036921722168,0.33049845827408353,0.3184304013736491,0.31923014988071063,-0.00536157953219947
chapman,cpsc,inceptiontime,43,stage3_ts_binned_threshold,2057,1.0485357727545033,0.9597163956579233,0.850166540366152,1.118910300430493,0.0,0.10727762146999892,0.02288918743632247,0.24975036921722168,0.33049845827408353,0.3184304013736491,0.31923014988071063,-0.00536157953219947
chapman,cpsc,inceptiontime,44,raw,2057,,,,,0.0,0.12041360099642548,0.01697260755207173,0.24997394386385674,0.35013401457573706,0.33095349204094016,0.33210548470273477,0.0
chapman,cpsc,inceptiontime,44,stage1_ts,2057,1.1047455761362877,,,,0.0,0.10973044824592804,0.02172100041930308,0.24997394386385674,0.3362922835694836,0.3111706814190093,0.3134890970930329,-0.010683152750497443
