pair,arch,seed,shift_name,shift_type,T_shift,T_relative,cal_entropy_mean,n_cal,fit_status
ptbxl_chapman,mamba,42,baseline,none,0.605690583318535,1.0,1.5608013494490711,2158,ok
ptbxl_chapman,mamba,42,fs250,downsample,0.6057516154132779,1.00010076447682,1.5608190088722727,2158,ok
ptbxl_chapman,mamba,42,fs125,downsample,0.605649188611731,0.9999316570078122,1.5609107688849369,2158,ok
ptbxl_chapman,mamba,42,leads6,leads,0.6542502298950617,1.0801723650885768,1.5705051129025263,2158,ok
ptbxl_chapman,mamba,42,leads3,leads,0.9220917628403831,1.5223808793399245,1.551795286973305,2158,ok
ptbxl_chapman,mamba,42,leads2,leads,0.7333581839358059,1.2107802302584751,1.5741031700885024,2158,ok
ptbxl_chapman,mamba,42,leads1,leads,0.7093467425352515,1.171137148358477,1.5737630025927367,2158,ok
ptbxl_chapman,mamba,42,noise24,noise,0.6082104702931036,1.0041603535600014,1.5604163404804163,2158,ok
ptbxl_chapman,mamba,42,noise12,noise,0.6288684556880214,1.0382668527592034,1.556960986926077,2158,ok
ptbxl_chapman,mamba,42,noise6,noise,0.6714959352847409,1.1086451626929104,1.5515746068441847,2158,ok
ptbxl_chapman,mamba,42,noise0,noise,0.704463775892383,1.1630753313559488,1.555233126577894,2158,ok
ptbxl_chapman,mamba,42,noise-6,noise,0.6765720873998666,1.1170259304560706,1.5766311625264033,2158,ok
ptbxl_chapman,mamba,42,gain0.5,gain,0.6171589517537795,1.0189343680603555,1.560278278734062,2158,ok
ptbxl_chapman,mamba,42,gain2.0,gain,0.5876837708163433,0.9702706084622718,1.5623032434130777,2158,ok
ptbxl_chapman,mamba,43,baseline,none,0.5230028440755262,1.0,1.565532854444896,2158,ok
ptbxl_chapman,mamba,43,fs250,downsample,0.5224677974626875,0.9989769718866739,1.5655858010426038,2158,ok
ptbxl_chapman,mamba,43,fs125,downsample,0.5224954647489118,0.999029872719887,1.5656423781067492,2158,ok
ptbxl_chapman,mamba,43,leads6,leads,0.5358813782716609,1.0246242144608202,1.5588549537278036,2158,ok
ptbxl_chapman,mamba,43,leads3,leads,0.7153784119568007,1.3678289134762216,1.5682866965737168,2158,ok
ptbxl_chapman,mamba,43,leads2,leads,0.5804356241052837,1.1098135137893508,1.559562403960572,2158,ok
ptbxl_chapman,mamba,43,leads1,leads,0.7091425102848977,1.355905648158371,1.5674403143162834,2158,ok
ptbxl_chapman,mamba,43,noise24,noise,0.5216673387947465,0.9974464665041346,1.5655292749137566,2158,ok
ptbxl_chapman,mamba,43,noise12,noise,0.5199033965576005,0.9940737463418495,1.5650749555547872,2158,ok
ptbxl_chapman,mamba,43,noise6,noise,0.5103597172938394,0.9758258928705539,1.56435805223908,2158,ok
ptbxl_chapman,mamba,43,noise0,noise,0.49486698073705027,0.9462032307143383,1.564267919519267,2158,ok
ptbxl_chapman,mamba,43,noise-6,noise,0.5183158876189021,0.9910383729080692,1.5683665219607705,2158,ok
ptbxl_chapman,mamba,43,gain0.5,gain,0.5040671960844882,0.963794368987593,1.5664300327984795,2158,ok
ptbxl_chapman,mamba,43,gain2.0,gain,0.5542195818629675,1.059687510576775,1.5637022105078733,2158,ok
ptbxl_chapman,resnet1d,42,baseline,none,1.1082826980335732,1.0,0.6342318753046455,2158,ok
ptbxl_chapman,resnet1d,42,fs250,downsample,5.351493901742269,4.828636151441711,0.5393431898030258,2158,ok
ptbxl_chapman,resnet1d,42,fs125,downsample,6.767958700745043,6.106707893891547,0.702214724675734,2158,ok
ptbxl_chapman,resnet1d,42,leads6,leads,1.024088407391716,0.9240317558045045,0.7802297733027371,2158,ok
ptbxl_chapman,resnet1d,42,leads3,leads,2.4795359981086875,2.2372775488673873,0.9993206096938427,2158,ok
ptbxl_chapman,resnet1d,42,leads2,leads,3.3055273345552534,2.9825669393019063,1.256231906304683,2158,ok
ptbxl_chapman,resnet1d,42,leads1,leads,90.33288601933616,81.50707953811231,0.9886223980343639,2158,ok
