pair,arch,seed,bin_idx,n_cal_bin,n_id_bin,n_ood_bin,T_bin,T_global,bin_entropy_lo,bin_entropy_hi,bin_entropy_mean,id_rel_raw,id_rel_binned_T,id_rel_global_T,id_delta_binned_vs_raw,id_delta_global_vs_raw,id_delta_binned_vs_global,ood_rel_raw,ood_rel_binned_T,ood_rel_global_T,ood_delta_binned_vs_raw,ood_delta_global_vs_raw,ood_delta_binned_vs_global,fit_status
ptbxl_chapman,mamba,42,0,432,446,1139,0.5795191483451906,0.605690583318535,-inf,1.5415552669585677,1.5303612304086978,0.02485426507829028,0.00235968548997805,0.004341281058863994,-0.02249457958831223,-0.020512984019426285,-0.001981595568885944,0.0007050067438506817,0.02350227466718078,0.019581454778914403,0.0227972679233301,0.018876448035063723,0.003920819888266376,ok
ptbxl_chapman,mamba,42,1,431,474,872,0.49787514509217534,0.605690583318535,1.5415552669585677,1.5548657525149987,1.5487846845302833,0.03755799396114637,0.0022682807266527607,0.007595748698235184,-0.035289713234493605,-0.029962245262911184,-0.005327467971582424,0.0009177499717035925,0.038240599733500705,0.01876978268347745,0.03732284976179711,0.01785203271177386,0.019470817050023254,ok
ptbxl_chapman,mamba,42,2,432,442,624,0.45014992244076435,0.605690583318535,1.5548657525149987,1.566429749303942,1.5606472358244718,0.029559647181082786,0.001647074761256371,0.006324596544953336,-0.027912572419826413,-0.023235050636129448,-0.004677521783696965,0.006421538894124553,0.06981045033261324,0.03139759381318398,0.06338891143848868,0.024976054919059427,0.03841285651942926,ok
ptbxl_chapman,mamba,42,3,431,435,730,0.7527841144682157,0.605690583318535,1.566429749303942,1.580937497140622,1.5735547700727723,0.005370281113096213,0.001895357244623996,0.010961404265108544,-0.0034749238684722173,0.005591123152012331,-0.009066047020484547,0.01978066477995112,0.03282260318302224,0.05024794741417973,0.013041938403071121,0.030467282634228612,-0.01742534423115749,ok
ptbxl_chapman,mamba,42,4,432,375,685,72.73659039404878,0.605690583318535,1.580937497140622,inf,1.5906605318621505,0.023782747110495214,0.007890433214325669,0.04123994214621747,-0.015892313896169546,0.017457195035722257,-0.0333495089318918,0.0365658332121023,0.015605760972880387,0.06199820622763997,-0.020960072239221913,0.02543237301553767,-0.04639244525475958,ok
ptbxl_chapman,mamba,43,0,432,423,1080,0.4015076063087142,0.5230028440755262,-inf,1.5537405283047032,1.5475910460980187,0.07826477482757913,0.014985768778916166,0.03326351376967861,-0.06327900604866296,-0.04500126105790052,-0.018277744990762443,0.002383049084187935,0.01765690252363107,0.003147270279806859,0.015273853439443135,0.0007642211956189237,0.014509632243824212,ok
ptbxl_chapman,mamba,43,1,431,447,854,0.4495256975655984,0.5230028440755262,1.5537405283047032,1.5606603950057993,1.5572877182268934,0.07088372481677821,0.01677252813768784,0.02678501371874406,-0.05411119667909037,-0.04409871109803415,-0.010012485581056222,0.002127867342078435,0.01749506837992241,0.01021817602031345,0.015367201037843973,0.008090308678235014,0.007276892359608959,ok
ptbxl_chapman,mamba,43,2,432,432,736,0.4709087070881846,0.5230028440755262,1.5606603950057993,1.5674477082121423,1.5641005503725653,0.03575469443532986,0.0035701951026668546,0.010033519191014594,-0.03218449933266301,-0.025721175244315265,-0.00646332408834774,0.0028177727232271263,0.017031447023182163,0.016456119523339308,0.014213674299955036,0.01363834680011218,0.0005753274998428551,ok
ptbxl_chapman,mamba,43,3,431,445,696,0.6195245232114726,0.5230028440755262,1.5674477082121423,1.577479842380136,1.5722269106900706,0.0003588296601043933,0.004389505744842457,0.00898909970991224,0.004030676084738063,0.008630270049807848,-0.0045995939650697835,0.013202215788228925,0.0338762515749015,0.04555092244414996,0.020674035786672575,0.03234870665592104,-0.011674670869248463,ok
ptbxl_chapman,mamba,43,4,432,425,684,3.633615967455944,0.5230028440755262,1.577479842380136,inf,1.5864544563740328,0.032167716981214345,0.014402466795473787,0.06483871582759407,-0.017765250185740558,0.03267099884637972,-0.05043624903212028,0.03971322668762236,0.02118230475790391,0.07526406581666689,-0.01853092192971845,0.03555083912904453,-0.05408176105876299,ok
ptbxl_chapman,resnet1d,42,0,432,430,842,0.9756495853694465,1.1082826980335732,-inf,0.29055511068106743,0.21365419028922314,0.0011262655460939739,0.0014088982636531098,0.00018959389137993408,0.0002826327175591359,-0.0009366716547140397,0.0012193043722731757,0.025544365206875665,0.026843649160528928,0.019625747907198926,0.0012992839536532623,-0.005918617299676739,0.007217901253330002,ok
ptbxl_chapman,resnet1d,42,1,431,414,906,1.1806165702237867,1.1082826980335732,0.29055511068106743,0.48160012544158337,0.3792787393248389,0.0012610337171609356,0.0006384396897975023,0.00022449593964010825,-0.0006225940273634333,-0.0010365377775208274,0.00041394375015739405,0.019424015913067395,0.008716227602103136,0.012392248118476952,-0.010707788310964259,-0.007031767794590443,-0.0036760205163738156,ok
ptbxl_chapman,resnet1d,42,2,432,415,858,1.2707334033660478,1.1082826980335732,0.48160012544158337,0.721336084282281,0.6003554659558027,0.0080510157593706,6.920688597636037e-05,0.002337400900993717,-0.007981808873394239,-0.005713614858376882,-0.0022681940150173566,0.013145450623366518,0.0022631505550912007,0.00807667659178165,-0.010882300068275317,-0.005068774031584868,-0.005813526036690449,ok
ptbxl_chapman,resnet1d,42,3,431,415,803,1.1402239705352553,1.1082826980335732,0.721336084282281,0.9612587642000003,0.841748420530555,0.004311642942134347,0.005684788114154536,0.0038071109395531794,0.001373145172020189,-0.0005045320025811677,0.0018776771746013567,0.002885733039411023,0.0013883827869582725,0.0015225168221758138,-0.0014973502524527507,-0.0013632162172352094,-0.00013413403521754129,ok
