pair,arch,seed,method,ood_deltaECE,ood_ci_lo,ood_ci_hi,ood_ci_width,is_narrow,narrow_threshold,n_cal_est,n_test_est,n_patients_cal_est,n_patients_test_est,bootstrap_converged,cluster_sufficient,decay,diagnosis_reasons
chapman_cpsc,inceptiontime,42,ts,0.01389545635114825,0.013511645870006275,0.014290309520949911,0.0007786636509436364,1,0.005,1000,2057,200,411,1,1,0.006443391225650635,extremely_narrow_ci
chapman_cpsc,inceptiontime,42,platt,0.02606911978472054,0.02379384683643271,0.028476397938553392,0.00468255110212068,1,0.005,1020,2077,200,411,1,1,0.024573537777759075,extremely_narrow_ci
chapman_cpsc,inceptiontime,42,isotonic,0.019934087955071678,0.01723166256425592,0.02324509588334857,0.00601343331909265,0,0.005,1040,2097,200,411,1,1,0.017492737556812726,
chapman_cpsc,inceptiontime,42,vector,0.028795591275193766,0.026126628054016204,0.031186000782819433,0.005059372728803229,0,0.005,1060,2117,200,411,1,1,0.02750730088364572,
chapman_cpsc,inceptiontime,42,matrix,0.024116445662685504,0.019848432230572505,0.028388315671054404,0.008539883440481899,0,0.005,1080,2137,200,411,1,1,0.02154504760496766,
chapman_cpsc,inceptiontime,42,dirichlet,0.024222102885766872,0.02095651280816829,0.02785838527603221,0.006901872467863921,0,0.005,1100,2157,200,411,1,1,0.02194478877570693,
chapman_cpsc,inceptiontime,42,em_prior,-0.06671261286021807,-0.07629090481023561,-0.05861534853461056,0.017675556275625046,0,0.005,1120,2177,200,411,1,1,-0.04902925986677115,
chapman_cpsc,inceptiontime,42,bbse_prior,-0.06326914243867066,-0.07196990804226176,-0.05301006081380187,0.018959847228459892,0,0.005,1140,2197,200,411,1,1,-0.06251042590951672,
chapman_cpsc,inceptiontime,43,ts,0.010136671399966268,0.00993983300610222,0.010323968024156992,0.00038413501805477195,1,0.005,1000,2057,200,411,1,1,0.00890760463469406,extremely_narrow_ci
chapman_cpsc,inceptiontime,43,platt,0.005322274204550281,0.0016583883949999336,0.009005499073953054,0.00734711067895312,0,0.005,1020,2077,200,411,1,1,-0.01056780347464378,
chapman_cpsc,inceptiontime,43,isotonic,0.010306685873632815,0.005975067174594236,0.014957451185985125,0.008982384011390888,0,0.005,1040,2097,200,411,1,1,-0.008805828438339432,
chapman_cpsc,inceptiontime,43,vector,0.018749633970301494,0.015325149941152366,0.022673986384785273,0.007348836443632907,0,0.005,1060,2117,200,411,1,1,0.0008816965449725961,
chapman_cpsc,inceptiontime,43,matrix,0.019391375926541388,0.014347413173105034,0.024575579521508142,0.010228166348403109,0,0.005,1080,2137,200,411,1,1,-0.0032732831500847555,
chapman_cpsc,inceptiontime,43,dirichlet,0.019578769997957657,0.014505054877630194,0.0240348150829122,0.009529760205282005,0,0.005,1100,2157,200,411,1,1,-0.0028387745333651113,
