T,dist,kind,n_cells,dECE_noise,dECE_primary
1.1000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.000104,-0.000104
1.2500,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.014546,-0.014546
1.4000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.029472,-0.029472
1.5000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.038286,-0.038286
2.0000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.072036,-0.072036
3.0000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.110059,-0.110059
4.5000,empirical:cpsc_chapman_resnet1d_seed44,empirical,60,0.137955,-0.137955
0.7000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.037742,-0.037742
0.8000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.022474,-0.022474
0.9000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.009707,-0.009707
1.0000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.000333,-0.000333
1.2500,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.017366,-0.017366
1.4000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.034209,-0.034209
1.5000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.044372,-0.044372
2.0000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.084800,-0.084800
3.0000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.132676,-0.132676
4.5000,empirical:cpsc_chapman_resnet1d_seed45,empirical,60,0.168394,-0.168394
0.7000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.037605,-0.037605
0.8000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.023033,-0.023033
0.9000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.010093,-0.010093
1.0000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,-0.001327,0.001327
1.2500,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.014927,-0.014927
1.4000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.031307,-0.031307
1.5000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.041380,-0.041380
2.0000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.082951,-0.082951
3.0000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.135133,-0.135133
4.5000,empirical:cpsc_chapman_resnet1d_seed46,empirical,60,0.174840,-0.174840
0.7000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,0.030782,-0.030782
0.8000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,0.018062,-0.018062
0.9000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,0.007898,-0.007898
1.0000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,-0.005701,0.005701
1.2500,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,-0.008668,0.008668
1.4000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,-0.005981,0.005981
1.5000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,-0.002742,0.002742
2.0000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,0.016820,-0.016820
3.0000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,0.040374,-0.040374
4.5000,empirical:cpsc_ptbxl_inceptiontime_seed42,empirical,60,0.060523,-0.060523
0.7000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.035720,-0.035720
0.8000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.020093,-0.020093
0.9000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.008234,-0.008234
1.0000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,-0.004504,0.004504
1.2500,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,-0.002712,0.002712
1.4000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.003649,-0.003649
1.5000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.009412,-0.009412
2.0000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.037060,-0.037060
3.0000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.068511,-0.068511
4.5000,empirical:cpsc_ptbxl_inceptiontime_seed43,empirical,60,0.091722,-0.091722
0.7000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.039676,-0.039676
0.8000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.023867,-0.023867
0.9000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.010500,-0.010500
1.0000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,-0.000000,0.000000
1.1000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,-0.003462,0.003462
1.2500,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.000053,-0.000053
1.4000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.013358,-0.013358
1.5000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.021956,-0.021956
2.0000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.055174,-0.055174
3.0000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.093571,-0.093571
4.5000,empirical:cpsc_ptbxl_inceptiontime_seed44,empirical,60,0.123125,-0.123125
0.7000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.038763,-0.038763
0.8000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.022823,-0.022823
0.9000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.009929,-0.009929
1.0000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,-0.006086,0.006086
1.2500,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,-0.003541,0.003541
1.4000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.007623,-0.007623
1.5000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.014839,-0.014839
2.0000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.042880,-0.042880
3.0000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.074799,-0.074799
4.5000,empirical:cpsc_ptbxl_inceptiontime_seed45,empirical,60,0.098879,-0.098879
0.7000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,0.035343,-0.035343
0.8000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,0.020849,-0.020849
0.9000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,0.009139,-0.009139
1.0000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,-0.006611,0.006611
1.2500,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,-0.011535,0.011535
1.4000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,-0.009763,0.009763
1.5000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,-0.004720,0.004720
2.0000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,0.018148,-0.018148
3.0000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,0.044715,-0.044715
4.5000,empirical:cpsc_ptbxl_inceptiontime_seed46,empirical,60,0.066142,-0.066142
0.7000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,0.040772,-0.040772
0.8000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,0.024594,-0.024594
0.9000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,0.010963,-0.010963
1.0000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,-0.000000,0.000000
1.1000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,-0.005991,0.005991
1.2500,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,-0.000989,0.000989
1.4000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,0.013335,-0.013335
1.5000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,0.021800,-0.021800
2.0000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,0.054225,-0.054225
3.0000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,0.091470,-0.091470
4.5000,empirical:cpsc_ptbxl_resnet1d_seed42,empirical,60,0.119600,-0.119600
0.7000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.035840,-0.035840
0.8000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.021089,-0.021089
0.9000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.009195,-0.009195
1.0000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,-0.004593,0.004593
1.2500,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.003450,-0.003450
1.4000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.015661,-0.015661
1.5000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.022837,-0.022837
2.0000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.049949,-0.049949
3.0000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.080817,-0.080817
4.5000,empirical:cpsc_ptbxl_resnet1d_seed43,empirical,60,0.104105,-0.104105
0.7000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.039451,-0.039451
0.8000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.022003,-0.022003
0.9000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.008346,-0.008346
1.0000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,-0.002195,0.002195
1.2500,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.009276,-0.009276
1.4000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.023973,-0.023973
1.5000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.032721,-0.032721
2.0000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.065729,-0.065729
3.0000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.102595,-0.102595
4.5000,empirical:cpsc_ptbxl_resnet1d_seed44,empirical,60,0.129689,-0.129689
0.7000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.034625,-0.034625
0.8000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.020170,-0.020170
0.9000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.008291,-0.008291
1.0000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,-0.000763,0.000763
1.2500,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.009160,-0.009160
1.4000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.023282,-0.023282
1.5000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.031655,-0.031655
2.0000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.063998,-0.063998
3.0000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.101276,-0.101276
4.5000,empirical:cpsc_ptbxl_resnet1d_seed45,empirical,60,0.129633,-0.129633
0.7000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.039107,-0.039107
0.8000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.023823,-0.023823
0.9000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.010491,-0.010491
1.0000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.000000,-0.000000
1.1000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,-0.002547,0.002547
1.2500,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.007193,-0.007193
1.4000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.021778,-0.021778
1.5000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.031038,-0.031038
2.0000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.067783,-0.067783
3.0000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.111510,-0.111510
4.5000,empirical:cpsc_ptbxl_resnet1d_seed46,empirical,60,0.145039,-0.145039
0.7000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.041646,-0.041646
0.8000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.025818,-0.025818
0.9000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.011632,-0.011632
1.0000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.000000,-0.000000
1.1000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.001150,-0.001150
1.2500,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.019446,-0.019446
1.4000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.036798,-0.036798
1.5000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.047351,-0.047351
2.0000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.089658,-0.089658
3.0000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.139504,-0.139504
4.5000,empirical:ptbxl_chapman_inceptiontime_seed42,empirical,60,0.175017,-0.175017
0.7000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.044545,-0.044545
0.8000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.027069,-0.027069
0.9000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.011545,-0.011545
1.0000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.000115,-0.000115
1.2500,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.017252,-0.017252
1.4000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.034241,-0.034241
1.5000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.044542,-0.044542
2.0000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.085121,-0.085121
3.0000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.131980,-0.131980
4.5000,empirical:ptbxl_chapman_inceptiontime_seed43,empirical,60,0.165351,-0.165351
0.7000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.044643,-0.044643
0.8000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.027174,-0.027174
0.9000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.012007,-0.012007
1.0000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,-0.000000,0.000000
1.1000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.003494,-0.003494
1.2500,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.020776,-0.020776
1.4000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.037000,-0.037000
1.5000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.046774,-0.046774
2.0000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.084942,-0.084942
3.0000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.128482,-0.128482
4.5000,empirical:ptbxl_chapman_inceptiontime_seed44,empirical,60,0.159272,-0.159272
0.7000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.040870,-0.040870
0.8000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.024454,-0.024454
0.9000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.010730,-0.010730
1.0000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,-0.000000,0.000000
1.1000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.001379,-0.001379
1.2500,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.018620,-0.018620
1.4000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.034656,-0.034656
1.5000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.044328,-0.044328
2.0000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.082358,-0.082358
3.0000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.125999,-0.125999
4.5000,empirical:ptbxl_chapman_inceptiontime_seed45,empirical,60,0.157167,-0.157167
0.7000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.035413,-0.035413
0.8000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.019867,-0.019867
0.9000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.007956,-0.007956
1.0000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.000000,-0.000000
1.1000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,-0.003900,0.003900
1.2500,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.002138,-0.002138
1.4000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.012650,-0.012650
1.5000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.019249,-0.019249
2.0000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.043832,-0.043832
3.0000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.070793,-0.070793
4.5000,empirical:ptbxl_chapman_inceptiontime_seed46,empirical,60,0.091047,-0.091047
0.7000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.043517,-0.043517
0.8000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.027688,-0.027688
0.9000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.013122,-0.013122
1.0000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,-0.000000,0.000000
1.1000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,-0.002053,0.002053
1.2500,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.013386,-0.013386
1.4000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.031071,-0.031071
1.5000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.041875,-0.041875
2.0000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.085674,-0.085674
3.0000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.138540,-0.138540
4.5000,empirical:ptbxl_chapman_resnet1d_seed42,empirical,60,0.176719,-0.176719
0.7000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.041029,-0.041029
0.8000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.025264,-0.025264
0.9000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.010991,-0.010991
1.0000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.004256,-0.004256
1.2500,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.023636,-0.023636
1.4000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.042031,-0.042031
1.5000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.053325,-0.053325
2.0000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.099593,-0.099593
3.0000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.156526,-0.156526
4.5000,empirical:ptbxl_chapman_resnet1d_seed43,empirical,60,0.198433,-0.198433
0.7000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.042639,-0.042639
0.8000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.025148,-0.025148
0.9000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.009517,-0.009517
1.0000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,-0.000000,0.000000
1.1000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.008935,-0.008935
1.2500,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.029385,-0.029385
1.4000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.048245,-0.048245
1.5000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.059746,-0.059746
2.0000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.105900,-0.105900
3.0000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.160273,-0.160273
4.5000,empirical:ptbxl_chapman_resnet1d_seed44,empirical,60,0.198993,-0.198993
0.7000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.045315,-0.045315
0.8000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.028210,-0.028210
0.9000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.012705,-0.012705
1.0000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,-0.000000,0.000000
1.1000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.005930,-0.005930
1.2500,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.026030,-0.026030
1.4000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.044145,-0.044145
1.5000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.055074,-0.055074
2.0000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.098410,-0.098410
3.0000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.148784,-0.148784
4.5000,empirical:ptbxl_chapman_resnet1d_seed45,empirical,60,0.184234,-0.184234
0.7000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.041657,-0.041657
0.8000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.026083,-0.026083
0.9000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.011901,-0.011901
1.0000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,-0.000000,0.000000
1.1000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,-0.000958,0.000958
1.2500,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.017176,-0.017176
1.4000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.034774,-0.034774
1.5000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.045548,-0.045548
2.0000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.089498,-0.089498
3.0000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.143451,-0.143451
4.5000,empirical:ptbxl_chapman_resnet1d_seed46,empirical,60,0.183708,-0.183708
0.7000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.039631,-0.039631
0.8000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.024736,-0.024736
0.9000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.011444,-0.011444
1.0000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,-0.000000,0.000000
1.1000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,-0.003193,0.003193
1.2500,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.008789,-0.008789
1.4000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.024295,-0.024295
1.5000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.033782,-0.033782
2.0000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.072214,-0.072214
3.0000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.119056,-0.119056
4.5000,empirical:ptbxl_cpsc_inceptiontime_seed42,empirical,60,0.154658,-0.154658
0.7000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.036170,-0.036170
0.8000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.021314,-0.021314
0.9000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.008854,-0.008854
1.0000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,-0.001583,0.001583
1.2500,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.016100,-0.016100
1.4000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.032753,-0.032753
1.5000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.042862,-0.042862
2.0000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.083368,-0.083368
3.0000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.131958,-0.131958
4.5000,empirical:ptbxl_cpsc_inceptiontime_seed43,empirical,60,0.168761,-0.168761
0.7000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.035248,-0.035248
0.8000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.020528,-0.020528
0.9000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.008209,-0.008209
1.0000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,-0.000000,0.000000
1.1000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.000145,-0.000145
1.2500,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.015060,-0.015060
1.4000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.031782,-0.031782
1.5000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.041955,-0.041955
2.0000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.082765,-0.082765
3.0000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.131539,-0.131539
4.5000,empirical:ptbxl_cpsc_inceptiontime_seed44,empirical,60,0.168065,-0.168065
0.7000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.040130,-0.040130
0.8000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.024341,-0.024341
0.9000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.010888,-0.010888
1.0000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.000000,-0.000000
1.1000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,-0.005377,0.005377
1.2500,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.002332,-0.002332
1.4000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.016894,-0.016894
1.5000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.025679,-0.025679
2.0000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.060347,-0.060347
3.0000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.101565,-0.101565
4.5000,empirical:ptbxl_cpsc_inceptiontime_seed45,empirical,60,0.133224,-0.133224
0.7000,empirical:ptbxl_cpsc_inceptiontime_seed46,empirical,60,0.040977,-0.040977
0.8000,empirical:ptbxl_cpsc_inceptiontime_seed46,empirical,60,0.024337,-0.024337
0.9000,empirical:ptbxl_cpsc_inceptiontime_seed46,empirical,60,0.010360,-0.010360
1.0000,empirical:ptbxl_cpsc_inceptiontime_seed46,empirical,60,0.000000,-0.000000
