T,dist,kind,n_cells,dECE_noise,dECE_primary
1.2500,empirical:chapman_cpsc_resnet1d_seed42,empirical,60,0.017834,-0.017834
1.4000,empirical:chapman_cpsc_resnet1d_seed42,empirical,60,0.035160,-0.035160
1.5000,empirical:chapman_cpsc_resnet1d_seed42,empirical,60,0.045941,-0.045941
2.0000,empirical:chapman_cpsc_resnet1d_seed42,empirical,60,0.091604,-0.091604
3.0000,empirical:chapman_cpsc_resnet1d_seed42,empirical,60,0.152299,-0.152299
4.5000,empirical:chapman_cpsc_resnet1d_seed42,empirical,60,0.201699,-0.201699
0.7000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.030396,-0.030396
0.8000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.015130,-0.015130
0.9000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.004696,-0.004696
1.0000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.000000,-0.000000
1.1000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.001880,-0.001880
1.2500,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.015879,-0.015879
1.4000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.032324,-0.032324
1.5000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.042386,-0.042386
2.0000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.083010,-0.083010
3.0000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.132590,-0.132590
4.5000,empirical:chapman_cpsc_resnet1d_seed43,empirical,60,0.171438,-0.171438
0.7000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.032731,-0.032731
0.8000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.019667,-0.019667
0.9000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.008035,-0.008035
1.0000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,-0.000000,0.000000
1.1000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.001789,-0.001789
1.2500,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.014436,-0.014436
1.4000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.030416,-0.030416
1.5000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.040456,-0.040456
2.0000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.083760,-0.083760
3.0000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.143387,-0.143387
4.5000,empirical:chapman_cpsc_resnet1d_seed44,empirical,60,0.193161,-0.193161
0.7000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.031888,-0.031888
0.8000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.019546,-0.019546
0.9000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.008444,-0.008444
1.0000,empirical:chapman_cpsc_resnet1d_seed45,empirical,60,0.000000,-0.000000
