src,tgt,arch,seed,T,s_hat,b_hat,pi_l1,d_obs,d_obs_json,d_pred_json,d_pred_lin,d_pred_full,e_raw,e_ts,ood_acc,wass
chapman,cpsc,inceptiontime,42,1.432226584951807,1.049571704228512,0.22444235311311303,0.6731880663348238,-0.03352120673708636,0.08063162216476821,0.39793919920690995,-0.006150854464070134,-0.09470900943920224,0.4086441776969215,0.4421653844340079,0.41711229946524064,0.9877721667289734
chapman,cpsc,inceptiontime,43,1.2633181192034328,1.1028996590373474,0.034282849735483595,0.6731880663348238,-0.05169422745588742,0.05372522579921174,0.41746453237415443,-0.012637041803783477,-0.09569690906427758,0.3293825154549066,0.381076742910794,0.4842002916869227,0.9189584255218506
chapman,cpsc,inceptiontime,44,1.6118524192088628,0.9120024318044804,0.5730216042269569,0.6731880663348238,-0.014658213980173584,0.09984361908286032,0.380283024334991,0.02585170506639404,-0.07025096672335812,0.4059239742850933,0.4205821882652669,0.42732134175984443,0.7880541086196899
chapman,cpsc,inceptiontime,45,1.2438574579845358,0.8947676879499653,0.16750961316508992,0.6731880663348238,-0.05622031828356877,0.04623546572645176,0.33523312364830066,0.013126701929755258,-0.07217908567691467,0.3709262429103146,0.4271465611938834,0.4122508507535245,0.6957937479019165
chapman,cpsc,inceptiontime,46,1.4799010609485748,0.9301546743831195,0.37540065596999483,0.6731880663348238,-0.0294957915207803,0.0739524251735641,0.3971613429294416,0.0062057265097340535,-0.06825780932278558,0.41027631832664313,0.43977210984742343,0.436558094312105,0.755212128162384
chapman,cpsc,resnet1d,42,1.536391908969336,0.9337922075834487,0.5267600718214366,0.6731880663348238,-0.024565772721648005,0.08514364302147964,0.3598140332710173,0.006293517909955083,-0.07216014297598472,0.3642602715900238,0.3888260443116718,0.47593582887700536,0.4968101382255554
chapman,cpsc,resnet1d,43,1.2230026173428343,0.8885178900497829,0.2957122165425474,0.6731880663348238,-0.0651559267857727,0.04523990291104796,0.3290722416810421,0.015119173207317628,-0.07870202351091671,0.3682531135489075,0.4334090403346802,0.4200291686922703,0.417612761259079
chapman,cpsc,resnet1d,44,1.32363375510813,1.0809088995788279,0.18546760639746232,0.6731880663348238,-0.04290210427041763,0.05849128638768425,0.36031462476175824,-0.009055604529740195,-0.08838072619104359,0.36277941453207685,0.4056815188024945,0.4681575109382596,0.6597166061401367
chapman,cpsc,resnet1d,45,1.5302072131829394,1.1240294732483882,0.2990187040703905,0.6731880663348238,-0.024218368266587353,0.07765746002752827,0.3567141175387982,-0.01048966594224866,-0.08093468315345198,0.3822009342934938,0.40641930256008113,0.4720466699076325,0.7145453095436096
chapman,cpsc,resnet1d,46,1.3437981326004593,0.8510355851522298,0.39850785017907203,0.6731880663348238,-0.047173772338645614,0.058983341413273105,0.3442517956233421,0.01688152531673636,-0.06671757101433107,0.40440288771398447,0.4515766600526301,0.41614000972289744,0.5469205975532532
chapman,ptbxl,inceptiontime,42,0.9843878285278691,1.0922693927715377,-0.07609310081465268,0.9515244526294251,-0.09413070714660332,-0.00277748147869894,0.3273191757188401,-0.019220792372533522,-0.10864919806876894,0.2662113383000727,0.36034204544667603,0.4654696132596685,0.5088121891021729
chapman,ptbxl,inceptiontime,43,1.0389052896119755,1.0975089355777063,0.03800485371547407,0.9515244526294251,-0.09807850070585855,0.008287933852170803,0.3645809859839877,-0.01924323592480752,-0.12327587172306698,0.2572063001946411,0.35528480090049963,0.4894106813996317,0.4231693148612976
chapman,ptbxl,inceptiontime,44,1.0593890951682814,1.1545611486871123,-0.10384175723229012,0.9515244526294251,-0.09158757249404487,0.012419265684310232,0.353101677734372,-0.02805971533606164,-0.12658687556097298,0.25976600278422757,0.35135357527827243,0.49263351749539597,0.357678085565567
chapman,ptbxl,inceptiontime,45,1.1039696491394246,1.007659225137088,0.03683747755705225,0.9515244526294251,-0.08347454614951028,0.022496853658013793,0.3370625665355042,-0.001357608712019773,-0.10268007726520023,0.27748503459147544,0.3609595807409857,0.4696132596685083,0.4378349483013153
