src,tgt,arch,seed,K,e_raw,e_ts,d_obs_true,d_obs_json,d_pred_json,d_pred_enum,ece_sub_raw,ece_sub_sbpi,sh_s,sh_b,sh_pi,prev_l1,T,ood_acc
chapman,cpsc,inceptiontime,42,4,0.4086441776969215,0.44216538817197537,-0.03352121047505385,0.08063162216476821,0.39793919920690995,0.0332896049060295,0.4975405388453311,0.5308301437513606,0.010387371439140314,0.0,0.022902233466889188,0.6726827606248693,1.432226584951807,0.41711229946524064
chapman,cpsc,inceptiontime,43,4,0.3293825154549066,0.38107673653596574,-0.051694221081059144,0.05372522579921174,0.41746453237415443,0.03766953799953754,0.4136655472208124,0.45133508522034993,-0.01895735330198714,0.0,0.05662689130152468,0.6726827606248693,1.2633181192034328,0.4842002916869227
chapman,cpsc,inceptiontime,44,4,0.4059239742850933,0.4205821882652669,-0.014658213980173584,0.09984361908286032,0.380283024334991,-0.06104247640559712,0.48667018197379064,0.4256277055681935,-0.030458298952085985,0.0,-0.030584177453511132,0.6726827606248693,1.6118524192088628,0.42732134175984443
chapman,cpsc,inceptiontime,45,4,0.3709262429103146,0.4271465593973409,-0.0562203164870263,0.04623546572645176,0.33523312364830066,-0.02904808150684557,0.45785637419375624,0.4288082926869107,-0.016728432856438546,0.0,-0.01231964865040702,0.6726827606248693,1.2438574579845358,0.4122508507535245
chapman,cpsc,inceptiontime,46,4,0.41027631832664313,0.4397721109195537,-0.029495792592910575,0.0739524251735641,0.3971613429294416,-0.15177240141507348,0.48527302806332206,0.3335006266482486,-0.07635964806468895,0.0,-0.07541275335038453,0.6726827606248693,1.4799010609485748,0.436558094312105
chapman,cpsc,resnet1d,42,4,0.3642602715900238,0.3888260442826953,-0.024565772692671517,0.08514364302147964,0.3598140332710173,-0.14565744967505945,0.44323290825817385,0.2975754585831144,-0.0736324535265177,0.0,-0.07202499614854173,0.6726827606248693,1.536391908969336,0.47593582887700536
chapman,cpsc,resnet1d,43,4,0.3682531135489075,0.4334090359302534,-0.06515592238134588,0.04523990291104796,0.3290722416810421,-0.14471633707358533,0.4641486747959138,0.3194323377223285,-0.033826853238645704,0.0,-0.11088948383493963,0.6726827606248693,1.2230026173428343,0.4200291686922703
chapman,cpsc,resnet1d,44,4,0.36277941453207685,0.40568151974423045,-0.042902105212153596,0.05849128638768425,0.36031462476175824,-0.03881922764776574,0.44285704441075185,0.4040378167629861,-0.019059797937221096,0.0,-0.019759429710544646,0.6726827606248693,1.32363375510813,0.4681575109382596
chapman,cpsc,resnet1d,45,4,0.3822009342934938,0.4064193070514375,-0.024218372757943696,0.07765746002752827,0.3567141175387982,-0.1377017337472033,0.45393933187020197,0.3162375981229987,-0.06993464872422159,0.0,-0.0677670850229817,0.6726827606248693,1.5302072131829394,0.4720466699076325
chapman,cpsc,resnet1d,46,4,0.40440288771398447,0.4515766587776644,-0.047173771063679926,0.058983341413273105,0.3442517956233421,-0.14961600092377886,0.49116774951594516,0.3415517485921663,-0.07195319159910885,0.0,-0.07766280932467001,0.6726827606248693,1.3437981326004593,0.41614000972289744
