src,tgt,arch,seed,K,T,s_hat_cal,b_hat_cal,s_true_ood,b_true_ood,pi_l1,d_obs,e_raw,e_ts,ood_acc,id_acc,dT_from_true,err_s
chapman,cpsc,inceptiontime,42,4,1.432226584951807,1.049571704228512,0.22444235311311303,2.130628527105987,3.0612378173761234,0.6731880663348238,0.08369531088965343,0.4086441776969215,0.3249488668072681,0.41711229946524064,0.8332491157150076,-1.130628527105987,-1.081056822877475
chapman,cpsc,inceptiontime,43,4,1.2633181192034328,1.1028996590373474,0.034282849735483595,2.091593921410178,2.1956530147657065,0.6731880663348238,0.054928455750685334,0.3293825154549066,0.27445405970422126,0.4842002916869227,0.8312278928751895,-1.091593921410178,-0.9886942623728305
chapman,cpsc,inceptiontime,44,4,1.6118524192088628,0.9120024318044804,0.5730216042269569,1.7021576597871322,2.878346773758063,0.6731880663348238,0.10419338434619668,0.4059239742850933,0.3017305899388966,0.42732134175984443,0.8484082870136432,-0.7021576597871322,-0.7901552279826518
chapman,cpsc,inceptiontime,45,4,1.2438574579845358,0.8947676879499653,0.16750961316508992,1.7714793644742652,2.538138494551006,0.6731880663348238,0.04663967560254911,0.3709262429103146,0.3242865673077655,0.4122508507535245,0.8489135927235978,-0.7714793644742652,-0.8767116765242999
chapman,cpsc,inceptiontime,46,4,1.4799010609485748,0.9301546743831195,0.37540065596999483,1.7274310523295286,3.00522093225095,0.6731880663348238,0.07627140411336086,0.41027631832664313,0.33400491421328227,0.436558094312105,0.875189489641233,-0.7274310523295286,-0.7972763779464092
chapman,cpsc,resnet1d,42,4,1.536391908969336,0.9337922075834487,0.5267600718214366,1.5201483064682442,2.478046302305978,0.6731880663348238,0.08913574524971235,0.3642602715900238,0.2751245263403114,0.47593582887700536,0.8741788782213239,-0.5201483064682442,-0.5863560988847955
chapman,cpsc,resnet1d,43,4,1.2230026173428343,0.8885178900497829,0.2957122165425474,1.3773926224375765,2.278533938363055,0.6731880663348238,0.04570848913592723,0.3682531135489075,0.32254462441298026,0.4200291686922703,0.8665992925720061,-0.37739262243757654,-0.48887473238779366
chapman,cpsc,resnet1d,44,4,1.32363375510813,1.0809088995788279,0.18546760639746232,1.695849209278969,2.5934945201620385,0.6731880663348238,0.06056163675937554,0.36277941453207685,0.3022177777727013,0.4681575109382596,0.8630621526023244,-0.695849209278969,-0.6149403097001411
chapman,cpsc,resnet1d,45,4,1.5302072131829394,1.1240294732483882,0.2990187040703905,1.737589829896904,2.863881668142549,0.6731880663348238,0.07890143057099253,0.3822009342934938,0.30329950372250125,0.4720466699076325,0.8731682668014149,-0.7375898298969039,-0.6135603566485157
chapman,cpsc,resnet1d,46,4,1.3437981326004593,0.8510355851522298,0.39850785017907203,1.575656325339589,2.77954701431496,0.6731880663348238,0.05860921224487403,0.40440288771398447,0.34579367546911044,0.41614000972289744,0.8767054067710965,-0.575656325339589,-0.7246207401873592
cpsc,chapman,inceptiontime,42,4,2.750045974462376,1.7034226713508822,1.072330552868732,1.0200306074245222,0.4745910657616365,0.6718543735513052,-0.08124748416801751,0.0844072361541192,0.1656547203221367,0.6361798888327438,0.5258033106134372,-0.02003060742452223,0.68339206392636
cpsc,chapman,inceptiontime,43,4,2.8206852650068517,1.2761638217111146,1.1911389432292692,1.1211238713201772,0.7134920520991266,0.6718543735513052,0.03456009534184626,0.14557546996118567,0.11101537461933941,0.5712481051035877,0.5043816942551119,-0.12112387132017721,0.15503995039093743
cpsc,chapman,inceptiontime,44,4,2.4961144294954902,1.2848576535638903,0.9923770214257396,0.9915378856608067,0.41539177522697357,0.6718543735513052,-0.08176738935180156,0.0760218127771361,0.15778920212893766,0.639211723092471,0.5150925024342746,0.008462114339193305,0.29331976790308356
cpsc,chapman,inceptiontime,45,4,3.4375648270228827,2.0521096522285793,1.6575172682307482,1.375288481066861,0.9609426313614792,0.6718543735513052,0.05347922128011928,0.18106810001636647,0.1275888787362472,0.5826174835775644,0.4800389483933788,-0.3752884810668611,0.6768211711617182
cpsc,chapman,inceptiontime,46,4,2.195875689458944,3.878378623890028,1.5424498418545143,1.3378532095433253,0.8996239672919356,0.6718543735513052,0.12023138413110049,0.1743857961462386,0.054154412015138105,0.4615967660434563,0.4488802336903603,-0.3378532095433253,2.540525414346703
cpsc,chapman,resnet1d,42,4,2.060572895694346,1.0745778594309296,0.886238866893684,0.9445136082532579,0.38290844498429877,0.6718543735513052,-0.02157276836002829,0.09084205437092062,0.11241482273094891,0.5909550277918141,0.5082765335929893,0.05548639174674208,0.13006425117767173
cpsc,chapman,resnet1d,43,4,2.551371826992733,1.0736135670724207,1.5858661129385456,1.395370971609638,0.8551657428482631,0.6718543735513052,0.058762907909012535,0.1607136018593062,0.10195069395029366,0.6356745831227892,0.5111976630963972,-0.3953709716096381,-0.32175740453721735
cpsc,chapman,resnet1d,44,4,3.129229593252759,3.2985367905825345,1.8066989698988065,1.4980290916341787,0.8369977753168373,0.6718543735513052,0.07819518558874153,0.17790736106684135,0.09971217547809982,0.5366346639717029,0.45180136319376824,-0.49802909163417874,1.8005076989483557
cpsc,chapman,resnet1d,45,4,2.7420855896660727,1.4598562294852344,1.374236011603617,1.209878612281092,0.4215906003801888,0.6718543735513052,-0.08890300025320098,0.09094617256406219,0.17984917281726318,0.6748357756442648,0.501460564751704,-0.20987861228109206,0.24997761720414235
cpsc,chapman,resnet1d,46,4,3.1824909238724364,2.545528666921743,1.5712150423726738,1.0440366057783097,0.9039203011967522,0.6718543735513052,-0.007582193440697854,0.14965762916299177,0.15723982260368963,0.6328954017180394,0.49659201557935734,-0.0440366057783097,1.5014920611434335
chapman,ptbxl,inceptiontime,42,5,0.9843878285278691,1.0922693927715377,-0.07609310081465268,-6.042231266030736,0.5277155825670454,0.9515244526294251,-0.0018959534858714044,0.2662113383000727,0.2681072917859441,0.4654696132596685,0.817283950617284,7.042231266030736,7.134500658802274
chapman,ptbxl,inceptiontime,43,5,1.0389052896119755,1.0975089355777063,0.03800485371547407,-7.662686578529862,1.185380035595495,0.9515244526294251,0.010601623923019304,0.2572063001946411,0.24660467627162178,0.4894106813996317,0.8251851851851851,8.662686578529861,8.760195514107568
chapman,ptbxl,inceptiontime,44,5,1.0593890951682814,1.1545611486871123,-0.10384175723229012,-10.103811917384062,1.2793303150011013,0.9515244526294251,0.014951618253084192,0.25976600278422757,0.24481438453114338,0.49263351749539597,0.8444444444444444,11.103811917384062,11.258373066071174
chapman,ptbxl,inceptiontime,45,5,1.1039696491394246,1.007659225137088,0.03683747755705225,-6.47615891793581,0.7096307733694488,0.9515244526294251,0.025050004666906656,0.27748503459147544,0.2524350299245688,0.4696132596685083,0.8390123456790124,7.47615891793581,7.483818143072898
chapman,ptbxl,inceptiontime,46,5,1.074181147812797,1.0610641716212563,0.0389330949063332,-13.778426970140556,3.04162317108545,0.9515244526294251,0.015030207023554315,0.25536680286046987,0.24033659583691555,0.5207182320441989,0.8548148148148148,14.778426970140556,14.839491141761812
chapman,ptbxl,resnet1d,42,5,1.1246112144742808,1.1675323925446943,-0.017924969235850012,87.59251292774125,-18.633260493261886,0.9515244526294251,0.030116942658485635,0.24607679970960372,0.2159598570511181,0.5584714548802947,0.8745679012345678,-86.59251292774125,-86.42498053519655
chapman,ptbxl,resnet1d,43,5,1.1279481087131698,1.1909189241943254,-0.009539991303413736,7.409509679798179,0.7373560953969118,0.9515244526294251,0.028254270520797597,0.27630871200923757,0.24805444148843997,0.5478821362799263,0.8859259259259259,-6.409509679798179,-6.218590755603854
chapman,ptbxl,resnet1d,44,5,1.0684319939700566,1.1035863860999087,0.037124237756798226,5.173598682562273,1.126738839825387,0.9515244526294251,0.016812273455430043,0.25865944148372333,0.24184716802829329,0.5377532228360957,0.8839506172839506,-4.173598682562273,-4.070012296462364
chapman,ptbxl,resnet1d,45,5,0.9878828624250616,0.9301980454521658,0.13669834468474915,-18.45159765513859,1.8416164483570148,0.9515244526294251,-0.003457056496640465,0.25615212697240747,0.25960918346904793,0.5041436464088398,0.8251851851851851,19.45159765513859,19.381795700590754
chapman,ptbxl,resnet1d,46,5,1.063524700627107,1.0949267908398475,-0.0051455200173667354,35.84177752113212,-6.99776252023199,0.9515244526294251,0.014581876013636419,0.24400115375360737,0.22941927773997095,0.5621546961325967,0.8720987654320987,-34.84177752113212,-34.74685073029227
ptbxl,chapman,inceptiontime,42,5,1.137414233816701,1.1195488527216109,0.2609005291958718,3.238137373348446,-0.5498883441560579,0.9542237325369856,0.02929281632363609,0.12112495916861077,0.09183214284497468,0.6474074074074074,0.7020389249304912,-2.238137373348446,-2.118588520626835
ptbxl,chapman,inceptiontime,43,5,1.1058476761558191,1.1780930885338223,0.10217647675061733,-63.16073769045738,27.42062373358751,0.9542237325369856,0.02714606921980528,0.16022377968570334,0.13307771046589806,0.6014814814814815,0.7145505097312326,64.16073769045738,64.33883077899121
