src,tgt,arch,seed,T,d_obs_true,d_pred_json,inj_on_raw_sum,inj_on_raw_s,inj_on_raw_b,inj_on_raw_pi,inj_on_raw_e0,inj_on_raw_e_full,inj_on_ts_sum,inj_on_ts_s,inj_on_ts_b,inj_on_ts_pi,inj_on_ts_e0,inj_on_ts_e_full
chapman,cpsc,inceptiontime,42,1.432226584951807,0.08063162216476821,0.39793919920690995,0.0332896049060295,0.010387371439140314,0.0,0.022902233466889188,0.4975405388453311,0.5308301437513606,-0.07186978172912861,0.0,0.0,-0.07186978172912861,0.516391546128152,0.44452176439902336
chapman,cpsc,inceptiontime,43,1.2633181192034328,0.05372522579921174,0.41746453237415443,0.03766953799953754,-0.01895735330198714,0.0,0.05662689130152468,0.4136655472208124,0.45133508522034993,0.0007534189569798344,0.0,0.0,0.0007534189569798344,0.4437468277347511,0.44450024669173094
chapman,cpsc,inceptiontime,44,1.6118524192088628,0.09984361908286032,0.380283024334991,-0.06104247640559712,-0.030458298952085985,0.0,-0.030584177453511132,0.48667018197379064,0.4256277055681935,-0.05022180793908071,0.0,0.0,-0.05022180793908071,0.49289888328988984,0.44267707535080913
chapman,cpsc,inceptiontime,45,1.2438574579845358,0.04623546572645176,0.33523312364830066,-0.02904808150684557,-0.016728432856438546,0.0,-0.01231964865040702,0.45785637419375624,0.4288082926869107,-0.01361495643699473,0.0,0.0,-0.01361495643699473,0.49251276576292996,0.47889780932593523
chapman,cpsc,inceptiontime,46,1.4799010609485748,0.0739524251735641,0.3971613429294416,-0.15177240141507348,-0.07635964806468895,0.0,-0.07541275335038453,0.48527302806332206,0.3335006266482486,-0.04442977981244656,0.0,0.0,-0.04442977981244656,0.5015779237000758,0.45714814388762925
chapman,cpsc,resnet1d,42,1.536391908969336,0.08514364302147964,0.3598140332710173,-0.14565744967505945,-0.0736324535265177,0.0,-0.07202499614854173,0.44323290825817385,0.2975754585831144,-0.049294511311738676,0.0,0.0,-0.049294511311738676,0.45676325043544763,0.40746873912370896
chapman,cpsc,resnet1d,43,1.2230026173428343,0.04523990291104796,0.3290722416810421,-0.14471633707358533,-0.033826853238645704,0.0,-0.11088948383493963,0.4641486747959138,0.3194323377223285,-0.05646549461960387,0.0,0.0,-0.05646549461960387,0.5041508690558653,0.4476853744362614
chapman,cpsc,resnet1d,44,1.32363375510813,0.05849128638768425,0.36031462476175824,-0.03881922764776574,-0.019059797937221096,0.0,-0.019759429710544646,0.44285704441075185,0.4040378167629861,-0.030421752265971047,0.0,0.0,-0.030421752265971047,0.4671189626357367,0.43669721036976566
chapman,cpsc,resnet1d,45,1.5302072131829394,0.07765746002752827,0.3567141175387982,-0.1377017337472033,-0.06993464872422159,0.0,-0.0677670850229817,0.45393933187020197,0.3162375981229987,-0.04897476345135893,0.0,0.0,-0.04897476345135893,0.4674280167756059,0.418453253324247
chapman,cpsc,resnet1d,46,1.3437981326004593,0.058983341413273105,0.3442517956233421,-0.14961600092377886,-0.07195319159910885,0.0,-0.07766280932467001,0.49116774951594516,0.3415517485921663,-0.03243217899681167,0.0,0.0,-0.03243217899681167,0.519634208649643,0.4872020296528314
